2023-10-20 02:19:44,254 | root | INFO | New connection <('127.0.0.1', 55388)>:S85 |(Server.py:63)
2023-10-20 02:19:44,254 | root | INFO | new Thread ('127.0.0.1', 55388) |(Server.py:108)
2023-10-20 02:20:08,014 | root | INFO | [/Broadcast] (/ddos-udp 127.0.0.0 1 -c 1 ) |(Server.py:143)
2023-10-20 02:20:47,714 | root | DEBUG | Console.Thread $Start |(Server.py:90)
2023-10-20 02:20:48,524 | root | INFO | New connection <('127.0.0.1', 55414)>:S85 |(Server.py:62)
2023-10-20 02:20:48,524 | root | INFO | new Thread ('127.0.0.1', 55414) |(Server.py:107)
2023-10-20 02:21:09,991 | root | INFO | [/Broadcast] (/ddos 127.0.0.0 1 -c 1) |(Server.py:142)
2023-10-20 02:21:22,182 | root | INFO | [/Broadcast] (/ddos-udp 127.0.0.0 1 -c 1) |(Server.py:142)
2023-10-20 02:22:17,395 | root | DEBUG | Console.Thread $Start |(Server.py:88)
2023-10-20 02:22:25,498 | root | INFO | New connection <('127.0.0.1', 55448)>:S85 |(Server.py:60)
2023-10-20 02:22:25,499 | root | INFO | new Thread ('127.0.0.1', 55448) |(Server.py:105)
2023-10-20 02:22:47,743 | root | INFO | [/Broadcast] (/ddos-udp 127.0.0.3 1 =c 1 ) |(Server.py:140)
2023-10-20 02:22:57,044 | root | INFO | New connection <('127.0.0.1', 55456)>:S85 |(Server.py:60)
2023-10-20 02:22:57,044 | root | INFO | new Thread ('127.0.0.1', 55456) |(Server.py:105)
2023-10-20 02:22:59,265 | root | INFO | [/Broadcast] (/ddos-udp 127.0.0.3 1 =c 1 ) |(Server.py:140)
2023-10-20 02:23:05,495 | root | INFO | New connection <('127.0.0.1', 55460)>:S85 |(Server.py:60)
2023-10-20 02:23:05,495 | root | INFO | new Thread ('127.0.0.1', 55460) |(Server.py:105)
2023-10-20 02:23:10,073 | root | INFO | [/Broadcast] (/ddos-udp 127.0.0.3 1 -c 1 ) |(Server.py:140)
